Date,Week,Section,Group,Student_Initials,Plant_Species,PlantID,Treatment ,Replicate,Survival,Max_Leaf_Length,Stem_Number,Max_Height,Plant_Stress,Humidity,Light,Air_Temp,Soil_Moisture
1/14/2019,1,1,5,"J,J",Aristida stricta,Control-5-1B,Control,1B,A,350,12,280,2,,6280,28.2,0.2
1/14/2019,1,1,5,"J,J",Aristida stricta,Heatwave-5-1A,Heatwave,1A,A,330,22,280,2,,6280,28.2,0.2
1/14/2019,1,1,5,"J,J",Aristida stricta,Heatwave-5-1B,Heatwave,1B,A,225,32,240,2,,6280,28.2,0.2
1/14/2019,1,1,6,"AO,EB,CH",Aristida stricta,Control-6-1A,Control,1A,A,290,20,272,1,,3250,28.2,2.9
1/14/2019,1,1,6,"AO,EB,CH",Aristida stricta,Control-6-1B,Control,1B,A,262,38,252,1,,3250,28.2,2.9
1/14/2019,1,1,6,"AO,EB,CH",Aristida stricta,Heatwave-6-1A,Heatwave,1A,A,224,18,206,1,,3250,28.2,2.9
1/14/2019,1,1,6,"AO,EB,CH",Aristida stricta,Heatwave-6-1B,Heatwave,1B,A,240,29,233,2,,3250,28.2,2.9
1/14/2019,1,2,1,"IC,CL,KR,EE",Aristida stricta ,Control-2-1A,Control,1A,A,320,41,250,1,,1140,24.5,0.8
1/14/2019,1,2,1,"IC,CL,KR,EE",Aristida stricta ,Control-2-1B,Control,1B,A,275,12,260,1,,1140,24.5,0.8
1/14/2019,1,2,1,"IC,CL,KR,EE",Aristida stricta ,Heatwave-2-1A,Heatwave,1A,A,240,20,210,1,,1140,24.5,0.8
1/14/2019,1,2,1,"IC,CL,KR,EE",Aristida stricta ,Heatwave-2-1B,Heatwave,1B,A,277,13,275,1,,1140,24.5,0.8
1/14/2019,1,2,2,"JG,CS,NS,MJ",Aristida stricta,Control-2-2A,Control,2A,A,265,17,245,2,26,1040,25,0.5
1/14/2019,1,2,2,"JG,CS,NS,MJ",Aristida stricta,Control-2-2B,Control,2B,A,345,25,290,2,26,1040,25,0.5
1/14/2019,1,2,2,"JG,CS,NS,MJ",Aristida stricta,Heatwave-2-2A,Heatwave,2A,A,255,17,252,2,26,1040,25,0.5
1/14/2019,1,2,2,"JG,CS,NS,MJ",Aristida stricta,Heatwave-2-2B,Heatwave,2B,A,271,22,257,2,26,1040,25,0.5
1/14/2019,1,2,3,"A,J,S,D",Aristida stricta,Control-3-2A,Control,2A,A,280,14,240,1,25,1630,25.5,0.2
1/14/2019,1,2,3,"A,J,S,D",Aristida stricta,Control-3-2B,Control,2B,A,360,20,330,1,25,1630,25.5,0.2
1/14/2019,1,2,3,"A,J,S,D",Aristida stricta,Heatwave-3-2A,Heatwave,2A,A,300,31,270,1,25,1630,25.5,0.2
1/14/2019,1,2,3,"A,J,S,D",Aristida stricta,Heatwave-3-2B,Heatwave,2B,A,333,24,290,2,25,1630,25.5,0.2
1/14/2019,1,2,4,"NH,PP",Aristida stricta,Control-4-2A,Control,2A,A,335,14,252,1,24,1090,24.8,1.6
1/14/2019,1,2,4,"NH,PP",Aristida stricta,Control-4-2B,Control,2B,A,283,23,245,1,24,1090,24.8,1.6
1/14/2019,1,2,4,"NH,PP",Aristida stricta,Heatwave-4-2A,Heatwave,2A,A,348,15,282,1,24,1090,24.8,1.6
1/14/2019,1,2,4,"NH,PP",Aristida stricta,Heatwave-4-2B,Heatwave,2B,A,260,36,255,1,24,1090,24.8,1.6
1/14/2019,1,2,5,"JR,NS,AF,MS",Aristida stricta,Control-5-2A,Control,2A,A,280,16,285,2,24,1640,24.8,1.6
1/14/2019,1,2,5,"JR,NS,AF,MS",Aristida stricta,Control-5-2B,Control,2B,A,260,15,255,1,24,1640,24.8,1.6
1/14/2019,1,2,5,"JR,NS,AF,MS",Aristida stricta,Heatwave-5-2A,Heatwave,2A,A,290,26,250,2,24,1640,24.8,1.6
1/14/2019,1,2,5,"JR,NS,AF,MS",Aristida stricta,Heatwave-5-2B,Heatwave,2B,A,290,25,275,1,24,1640,24.8,1.6
1/14/2019,1,2,6,"DK,MF",Aristida stricta ,Control-2-6A,Control,2A,A,270,22,235,2,25,1678,23.6,2.9
1/14/2019,1,2,6,"DK,MF",Aristida stricta ,Control-2-6B,Control,2B,A,330,25,305,2,25,1678,23.6,2.9
1/14/2019,1,2,6,"DK,MF",Aristida stricta ,Heatwave-2-6A,Heatwave,2A,A,215,46,187,2,25,1678,23.6,2.9
1/14/2019,1,2,6,"DK,MF",Aristida stricta ,Heatwave-2-6B,Heatwave,2B,A,281,21,279,2,25,1678,23.6,2.9
1/15/2019,1,3,1,all,Andropogon gerardii,Control-1-3A,Control,3A,A,270,2,170,1,16,4750,30.8,1.7
1/15/2019,1,3,1,all,Andropogon gerardii,Control-1-3B,Control,3B,A,240,2,205,2,16,4750,30.8,1.7
1/15/2019,1,3,1,all,Andropogon gerardii,Control-1-6A,Control,6A,A,215,3,195,2,16,4750,30.8,1.7
1/15/2019,1,3,1,all,Andropogon gerardii,Control-1-6B,Control,6B,A,245,2,150,1,16,4750,30.8,1.7
1/15/2019,1,3,1,all,Andropogon gerardii,Heatwave-1-3A,Heatwave,3A,A,275,3,220,2,16,6010,30.8,2.6
1/15/2019,1,3,1,all,Andropogon gerardii,Heatwave-1-3B,Heatwave,3B,A,227,2,195,2,16,6010,30.8,2.6
1/15/2019,1,3,1,all,Andropogon gerardii,Heatwave-1-6A,Heatwave,6A,A,235,1,170,1,16,6010,30.8,2.6
1/15/2019,1,3,1,all,Andropogon gerardii,Heatwave-1-6B,Heatwave,6B,A,296,4,263,2,16,6010,30.8,2.6
1/15/2019,1,3,2,all,Andropogon gerardii,Control-2-3A,Control,3A,A,119,3,186,1,16,5200,30.9,2.7
1/15/2019,1,3,2,all,Andropogon gerardii,Control-2-3B,Control,3B,A,265,1,225,2,16,5200,30.9,2.7
1/15/2019,1,3,2,all,Andropogon gerardii,Control-2-6A,Control,6A,A,247,6,216,2,16,5200,30.9,2.7
1/15/2019,1,3,2,all,Andropogon gerardii,Control-2-6B,Control,6B,A,252,1,145,2,16,5200,30.9,2.7
1/15/2019,1,3,2,all,Andropogon gerardii,Heatwave-2-3A,Heatwave,3A,A,272,4,213,2,16,5520,30.9,0.9
1/15/2019,1,3,2,all,Andropogon gerardii,Heatwave-2-3B,Heatwave,3B,A,210,2,135,1,16,5520,30.9,0.9
1/15/2019,1,3,2,all,Andropogon gerardii,Heatwave-2-6A,Heatwave,6A,A,252,3,205,2,16,5520,30.9,0.9
1/15/2019,1,3,2,all,Andropogon gerardii,Heatwave-2-6B,Heatwave,6B,A,225,5,236,2,16,5520,30.9,0.9
1/15/2019,1,3,3,all,Andropogon gerardii,Control-3-3A,Control,3A,A,210,5,210,2,16,2410,34.1,0.4
1/15/2019,1,3,3,all,Andropogon gerardii,Control-3-3B,Control,3B,A,200,2,200,2,16,2410,34.1,0.4
1/15/2019,1,3,3,all,Andropogon gerardii,Control-3-6A,Control,6A,A,240,3,220,1,16,2410,34.1,0.4
1/15/2019,1,3,3,all,Andropogon gerardii,Control-3-6B,Control,6B,A,280,6,230,1,16,2410,34.1,0.4
1/15/2019,1,3,3,all,Andropogon gerardii,Heatwave-3-3A,Heatwave,3A,A,430,7,430,2,16,2070,34.1,2.4
1/15/2019,1,3,3,all,Andropogon gerardii,Heatwave-3-3B,Heatwave,3B,A,290,6,290,2,16,2070,34.1,2.4
1/15/2019,1,3,3,all,Andropogon gerardii,Heatwave-3-6A,Heatwave,6A,A,230,1,230,2,16,2070,34.1,2.4
1/15/2019,1,3,3,all,Andropogon gerardii,Heatwave-3-6B,Heatwave,6B,A,170,4,170,2,16,2070,34.1,2.4
1/15/2019,1,3,4,all,Andropogon gerardii,Control-4-3A,Control,3A,A,265,7,235,1,16,4140,31.5,3.6
1/15/2019,1,3,4,all,Andropogon gerardii,Control-4-3B,Control,3B,A,270,5,265,1,16,4140,31.5,3.6
1/15/2019,1,3,4,all,Andropogon gerardii,Control-4-6A,Control,6A,A,270,8,250,1,16,4140,31.5,3.6
1/15/2019,1,3,4,all,Andropogon gerardii,Control-4-6B,Control,6B,A,290,4,255,1,16,4140,31.5,3.6
1/15/2019,1,3,4,all,Andropogon gerardii,Heatwave-4-3A,Heatwave,3A,A,230,3,190,1,16,5350,31.5,3.7
1/15/2019,1,3,4,all,Andropogon gerardii,Heatwave-4-3B,Heatwave,3B,A,245,5,245,1,16,5350,31.5,3.7
1/15/2019,1,3,4,all,Andropogon gerardii,Heatwave-4-6A,Heatwave,6A,A,235,5,150,1,16,5350,31.5,3.7
1/15/2019,1,3,4,all,Andropogon gerardii,Heatwave-4-6B,Heatwave,6B,A,230,4,225,1,16,5350,31.5,3.7
1/15/2019,1,3,5,all,Andropogon gerardii,Control-5-3A,Control,3A,A,210,1,200,1,,18500,35.5,4.1
1/15/2019,1,3,5,all,Andropogon gerardii,Control-5-3B,Control,3B,A,230,2,230,1,,18500,35.5,4.1
1/15/2019,1,3,5,all,Andropogon gerardii,Control-5-6A,Control,6A,A,220,2,250,1,,18500,35.5,4.1
1/15/2019,1,3,5,all,Andropogon gerardii,Control-5-6B,Control,6B,A,220,3,230,1,,18500,35.5,4.1
1/15/2019,1,3,5,all,Andropogon gerardii,Heatwave-5-3A,Heatwave,3A,A,210,1,235,2,,20055,35.5,1.6
1/15/2019,1,3,5,all,Andropogon gerardii,Heatwave-5-3B,Heatwave,3B,A,240,5,240,1,,20055,35.5,1.6
1/15/2019,1,3,5,all,Andropogon gerardii,Heatwave-5-6A,Heatwave,6A,A,170,1,230,1,,20055,35.5,1.6
1/15/2019,1,3,5,all,Andropogon gerardii,Heatwave-5-6B,Heatwave,6B,A,205,1,240,1,,20055,35.5,1.6
1/15/2019,1,3,6,all,Andropogon gerardii,Control-6-3A,Control,3A,A,240,3,150,1,12,29700,33.9,1
1/15/2019,1,3,6,all,Andropogon gerardii,Control-6-3B,Control,3B,A,235,3,215,1,12,29700,33.9,1
1/15/2019,1,3,6,all,Andropogon gerardii,Control-6-6A,Control,6A,A,250,3,235,1,12,29700,33.9,1
1/15/2019,1,3,6,all,Andropogon gerardii,Control-6-6B,Control,6B,A,230,4,215,1,12,29700,33.9,1
1/15/2019,1,3,6,all,Andropogon gerardii,Heatwave-6-3A,Heatwave,3A,A,235,1,140,1,12,21500,33.9,2.3
1/15/2019,1,3,6,all,Andropogon gerardii,Heatwave-6-3B,Heatwave,3B,A,240,1,230,1,12,21500,33.9,2.3
1/15/2019,1,3,6,all,Andropogon gerardii,Heatwave-6-6A,Heatwave,6A,A,227,3,185,1,12,21500,33.9,2.3
1/15/2019,1,3,6,all,Andropogon gerardii,Heatwave-6-6B,Heatwave,6B,A,275,5,245,1,12,21500,33.9,2.3
1/16/2019,1,4,1,all,Schizachyrium scoparium,Control-1-4A,Control,4A,A,172,3,181,2,19,5850,31.1,0.9
1/16/2019,1,4,1,all,Schizachyrium scoparium,Control-1-4B,Control,4B,A,175,8,240,2,19,5850,31.1,0.9
1/16/2019,1,4,1,all,Schizachyrium scoparium,Heatwave-1-4A,Heatwave,4A,A,200,3,250,2,19,5850,31.1,0.9
1/16/2019,1,4,1,all,Schizachyrium scoparium,Heatwave-1-4B,Heatwave,4B,A,135,1,160,2,19,5850,31.1,0.9
1/16/2019,1,4,2,all,Schizachyrium scoparium,Control-2-4A,Control,4A,A,200,7,226,2,12,4120,34.9,2.1
1/16/2019,1,4,2,all,Schizachyrium scoparium,Control-2-4B,Control,4B,A,149,7,245,2,12,4120,34.9,2.1
1/16/2019,1,4,2,all,Schizachyrium scoparium,Heatwave-2-4A,Heatwave,4A,A,195,11,250,2,12,4120,34.9,2.1
1/16/2019,1,4,2,all,Schizachyrium scoparium,Heatwave-2-4B,Heatwave,4B,A,136,8,237,2,12,4120,34.9,2.1
1/16/2019,1,4,3,all,Schizachyrium scoparium,Control-3-4A,Control,4A,A,253,8,243,2,12,4730,34.9,0.9
1/16/2019,1,4,3,all,Schizachyrium scoparium,Control-3-4B,Control,4B,A,100,5,230,2,12,4730,34.9,0.9
1/16/2019,1,4,3,all,Schizachyrium scoparium,Heatwave-3-4A,Heatwave,4A,A,110,6,232,2,12,4730,34.9,0.9
1/16/2019,1,4,3,all,Schizachyrium scoparium,Heatwave-3-4B,Heatwave,4B,A,230,8,210,2,12,4730,34.9,0.9
1/16/2019,1,4,4,all,Schizachyrium scoparium,Control-4-4A,Control,4A,A,80,7,240,2,17,6620,31.4,1.9
1/16/2019,1,4,4,all,Schizachyrium scoparium,Control-4-4B,Control,4B,A,143,5,158,2,17,6620,31.4,1.9
1/16/2019,1,4,4,all,Schizachyrium scoparium,Heatwave-4-4A,Heatwave,4A,A,100,4,165,2,17,6620,31.4,1.9
1/16/2019,1,4,4,all,Schizachyrium scoparium,Heatwave-4-4B,Heatwave,4B,A,120,4,210,2,17,6620,31.4,1.9
1/16/2019,1,4,5,all,Schizachyrium scoparium,Control-5-4A,Control,4A,A,283,6,204,3,20,3480,31.4,0.7
1/16/2019,1,4,5,all,Schizachyrium scoparium,Control-5-4B,Control,4B,A,113,4,249,1,20,3480,31.4,0.7
1/16/2019,1,4,5,all,Schizachyrium scoparium,Heatwave-5-4A,Heatwave,4A,A,125,6,236,2,20,3480,31.4,0.7
1/16/2019,1,4,5,all,Schizachyrium scoparium,Heatwave-5-4B,Heatwave,4B,A,150,3,176,3,20,3480,31.4,0.7
1/16/2019,1,4,6,all,Schizachyrium scoparium,Control-6-4A,Control,4A,A,132,18,264,2,19,5600,31.4,0.9
1/16/2019,1,4,6,all,Schizachyrium scoparium,Control-6-4B,Control,4B,A,99,8,210,2,19,5600,31.4,0.9
1/16/2019,1,4,6,all,Schizachyrium scoparium,Heatwave-6-4A,Heatwave,4A,A,145,6,220,2,19,5600,31.4,0.9
1/16/2019,1,4,6,all,Schizachyrium scoparium,Heatwave-6-4B,Heatwave,4B,A,234,10,215,2,19,5600,31.4,0.9
1/16/2019,1,5,1,all,Schizachyrium scoparium,Control-1-5A,Control,5A,A,262,6,193,2,14,4220,31.5,1.5
1/16/2019,1,5,1,all,Schizachyrium scoparium,Control-1-5B,Control,5B,A,182,8,224,2,14,4220,31.5,1.5
1/16/2019,1,5,1,all,Schizachyrium scoparium,Heatwave-1-5A,Heatwave,5A,A,160,8,214,2,14,4220,31.5,1.5
1/16/2019,1,5,1,all,Schizachyrium scoparium,Heatwave-1-5B,Heatwave,5B,A,143,4,90,1,14,4220,31.5,1.5
1/16/2019,1,5,2,all,Schizachyrium scoparium,Control-2-5A,Control,5A,A,183,5,195,2,10,20700,33.4,1.4
1/16/2019,1,5,2,all,Schizachyrium scoparium,Control-2-5B,Control,5B,A,210,6,215,2,10,20700,33.4,1.4
1/16/2019,1,5,2,all,Schizachyrium scoparium,Heatwave-2-5A,Heatwave,5A,A,205,6,200,2,10,20700,33.4,1.4
1/16/2019,1,5,2,all,Schizachyrium scoparium,Heatwave-2-5B,Heatwave,5B,A,160,1,86,1,10,20700,33.4,1.4
1/16/2019,1,5,3,all,Schizachyrium scoparium,Control-3-5A,Control,5A,A,110,3,190,2,10,15560,38.4,1
1/16/2019,1,5,3,all,Schizachyrium scoparium,Control-3-5B,Control,5B,A,97,5,240,2,10,15560,38.4,1
1/16/2019,1,5,3,all,Schizachyrium scoparium,Heatwave-3-5A,Heatwave,5A,A,180,6,190,2,10,15560,38.4,1
1/16/2019,1,5,3,all,Schizachyrium scoparium,Heatwave-3-5B,Heatwave,5B,A,180,1,169,2,10,15560,38.4,1
1/16/2019,1,5,4,all,Schizachyrium scoparium,Control-4-5A,Control,5A,A,199,6,227,2,,4780,31.1,1.3
1/16/2019,1,5,4,all,Schizachyrium scoparium,Control-4-5B,Control,5B,A,240,8,210,2,,4780,31.1,1.3
1/16/2019,1,5,4,all,Schizachyrium scoparium,Heatwave-4-5A,Heatwave,5A,A,220,25,180,2,,4780,31.1,1.3
1/16/2019,1,5,4,all,Schizachyrium scoparium,Heatwave-4-5B,Heatwave,5B,A,250,14,242,2,,4780,31.1,1.3
1/16/2019,1,5,5,all,Schizachyrium scoparium,Control-5-5A,Control,5A,A,160,8,225,2,17,4990,34.6,0.4
1/16/2019,1,5,5,all,Schizachyrium scoparium,Control-5-5B,Control,5B,A,164,18,218,2,17,4990,34.6,0.4
1/16/2019,1,5,5,all,Schizachyrium scoparium,Heatwave-5-5B,Heatwave,5B,A,210,7,240,2,17,4990,34.6,0.4
1/16/2019,1,5,6,all,Schizachyrium scoparium,Control-6-5A,Control,5A,A,163,6,250,2,12,21200,34.5,1.3
1/16/2019,1,5,6,all,Schizachyrium scoparium,Control-6-5B,Control,5B,A,240,13,238,2,12,21200,34.5,1.3
1/16/2019,1,5,6,all,Schizachyrium scoparium,Heatwave-6-5A,Heatwave,5A,A,140,14,220,2,12,21200,34.5,1.3
1/16/2019,1,5,6,all,Schizachyrium scoparium,Heatwave-6-5B,Heatwave,5B,A,125,6,167,2,12,21200,34.5,1.3
1/17/2019,1,8,1,"M,A,N,A",Sorghastrum nutans,Control-1-7A,Control,7A,A,130,10,134,2,25,1286,26.1,2.1
1/17/2019,1,8,1,"M,A,N,A",Sorghastrum nutans,Control-1-7B,Control,7B,A,135,3,138,2,25,1286,26.1,2.1
1/17/2019,1,8,1,"M,A,N,A",Sorghastrum nutans,Control-1-8A,Control,8A,A,52,6,150,2,25,1286,26.1,2.1
1/17/2019,1,8,1,"M,A,N,A",Sorghastrum nutans,Control-1-8B,Control,8B,A,140,3,142,2,25,1286,26.1,2.1
1/17/2019,1,8,1,"M,A,N,A",Sorghastrum nutans,Heatwave-1-7A,Heatwave,7A,A,52,6,150,2,25,1286,26.1,2.1
1/17/2019,1,8,1,"M,A,N,A",Sorghastrum nutans,Heatwave-1-7B,Heatwave,7B,A,130,10,134,2,25,1286,26.1,2.1
1/17/2019,1,8,1,"M,A,N,A",Sorghastrum nutans,Heatwave-1-8A,Heatwave,8A,A,135,3,138,2,25,1286,26.1,2.1
1/17/2019,1,8,1,"M,A,N,A",Sorghastrum nutans,Heatwave-1-8B,Heatwave,8B,A,140,3,142,2,25,1286,26.1,2.1
1/17/2019,1,8,2,"RG,MW,SG",Sorghastrum nutans,Control-2-7A,Control,7A,A,145,5,152,2,25,1138,26.1,1.7
1/17/2019,1,8,2,"RG,MW,SG",Sorghastrum nutans,Control-2-7B,Control,7B,A,105,10,118,2,25,1138,26.1,1.7
1/17/2019,1,8,2,"RG,MW,SG",Sorghastrum nutans,Control-2-8A,Control,8A,A,64,4,115,2,25,1138,26.1,1.7
1/17/2019,1,8,2,"RG,MW,SG",Sorghastrum nutans,Control-2-8B,Control,8B,A,115,3,115,2,25,1138,26.1,1.7
1/17/2019,1,8,2,"RG,MW,SG",Sorghastrum nutans,Heatwave-2-7A,Heatwave,7A,A,105,5,105,2,22,1470,26.2,0.2
1/17/2019,1,8,2,"RG,MW,SG",Sorghastrum nutans,Heatwave-2-7B,Heatwave,7B,A,145,3,145,2,22,1470,26.2,0.2
1/17/2019,1,8,2,"RG,MW,SG",Sorghastrum nutans,Heatwave-2-8A,Heatwave,8A,A,100,4,92,2,22,1470,26.2,0.2
1/17/2019,1,8,2,"RG,MW,SG",Sorghastrum nutans,Heatwave-2-8B,Heatwave,8B,A,110,2,110,1,22,1470,26.2,0.2
1/17/2019,1,8,3,"TC,AW,LA,JN",Sorghastrum nutans,Control-3-7A,Control,7A,A,100,5,100,2,22,1530,26.2,2.3
1/17/2019,1,8,3,"TC,AW,LA,JN",Sorghastrum nutans,Control-3-7B,Control,7B,A,100,5,100,2,22,1530,26.2,2.3
1/17/2019,1,8,3,"TC,AW,LA,JN",Sorghastrum nutans,Control-3-8A,Control,8A,A,95,1,72,2,22,1530,26.2,2.3
1/17/2019,1,8,3,"TC,AW,LA,JN",Sorghastrum nutans,Control-3-8B,Control,8B,A,175,4,150,2,22,1530,26.2,2.3
1/17/2019,1,8,3,"TC,AW,LA,JN",Sorghastrum nutans,Heatwave-3-7A,Heatwave,7A,A,85,4,90,2,22,1263,27.1,0.5
1/17/2019,1,8,3,"TC,AW,LA,JN",Sorghastrum nutans,Heatwave-3-7B,Heatwave,7B,A,50,1,52,1,22,1263,27.1,0.5
1/17/2019,1,8,3,"TC,AW,LA,JN",Sorghastrum nutans,Heatwave-3-8A,Heatwave,8A,A,80,4,80,1,22,1263,27.1,0.5
1/17/2019,1,8,3,"TC,AW,LA,JN",Sorghastrum nutans,Heatwave-3-8B,Heatwave,8B,A,95,2,100,2,22,1263,27.1,0.5
1/17/2019,1,8,4,"JS,KG,SW,JW",Sorghastrum nutans,Contol-4-7B,Control,7B,A,85,1,85,2,22,1350,27.1,0.1
1/17/2019,1,8,4,"JS,KG,SW,JW",Sorghastrum nutans,Control-4-7A,Control,7A,A,55,2,70,2,22,1350,27.1,0.1
1/17/2019,1,8,4,"JS,KG,SW,JW",Sorghastrum nutans,Control-4-8A,Control,8A,A,110,6,95,2,22,1350,27.1,0.1
1/17/2019,1,8,4,"JS,KG,SW,JW",Sorghastrum nutans,Control-4-8B,Control,8B,A,70,2,80,2,22,1350,27.1,0.1
1/17/2019,1,8,4,"JS,KG,SW,JW",Sorghastrum nutans,Heatwave-4-7A,Heatwave,7A,A,74,5,61,2,23,80,25.2,1.3
1/17/2019,1,8,4,"JS,KG,SW,JW",Sorghastrum nutans,Heatwave-4-7B,Heatwave,7B,A,90,6,94,2,23,80,25.2,1.3
1/17/2019,1,8,4,"JS,KG,SW,JW",Sorghastrum nutans,Heatwave-4-8A,Heatwave,8A,A,123,8,130,2,23,80,25.2,1.3
1/17/2019,1,8,4,"JS,KG,SW,JW",Sorghastrum nutans,Heatwave-4-8B,Heatwave,8B,A,113,4,105,3,23,80,25.2,1.3
1/17/2019,1,8,5,"KJ,AA,KD,NK",Sorghastrum nutans,Control-5-7A,Control,7A,A,80,2,95,3,23,80,25.2,0.9
1/17/2019,1,8,5,"KJ,AA,KD,NK",Sorghastrum nutans,Control-5-7B,Control,7B,A,120,5,110,2,23,80,25.2,0.9
1/17/2019,1,8,5,"KJ,AA,KD,NK",Sorghastrum nutans,Control-5-8A,Control,8A,A,180,6,176,2,23,80,25.2,0.9
1/17/2019,1,8,5,"KJ,AA,KD,NK",Sorghastrum nutans,Control-5-8B,Control,8B,A,98,5,106,2,23,80,25.2,0.9
1/17/2019,1,8,5,"KJ,AA,KD,NK",Sorghastrum nutans,Heatwave-5-7A,Heatwave,7A,A,100,5,100,2,25,9300,24,0.8
1/17/2019,1,8,5,"KJ,AA,KD,NK",Sorghastrum nutans,Heatwave-5-7B,Heatwave,7B,A,130,4,110,2,25,9300,24,0.8
1/17/2019,1,8,5,"KJ,AA,KD,NK",Sorghastrum nutans,Heatwave-5-8A,Heatwave,8A,A,130,3,150,2,25,9300,24,0.8
1/17/2019,1,8,5,"KJ,AA,KD,NK",Sorghastrum nutans,Heatwave-5-8B,Heatwave,8B,A,102,7,100,2,25,9300,24,0.8
1/17/2019,1,8,6,"NL,JP,BS,JL",Sorghastrum nutans,Control-6-7A,Control,7A,A,160,2,160,2,25,9420,24,2.2
1/17/2019,1,8,6,"NL,JP,BS,JL",Sorghastrum nutans,Control-6-7B,Control,7B,A,100,7,120,2,25,9420,24,2.2
1/17/2019,1,8,6,"NL,JP,BS,JL",Sorghastrum nutans,Control-6-8A,Control,8A,A,120,4,120,2,25,9420,24,2.2
1/17/2019,1,8,6,"NL,JP,BS,JL",Sorghastrum nutans,Control-6-8B,Control,8B,A,70,6,90,2,25,9420,24,2.2
1/17/2019,1,8,6,"NL,JP,BS,JL",Sorghastrum nutans,Heatwave-6-7A,Heatwave,7A,A,114,5,120,2,29,1101,24.8,3.7
1/17/2019,1,8,6,"NL,JP,BS,JL",Sorghastrum nutans,Heatwave-6-7B,Heatwave,7B,A,135,4,121,1,29,1101,24.8,3.7
1/17/2019,1,8,6,"NL,JP,BS,JL",Sorghastrum nutans,Heatwave-6-8A,Heatwave,8A,A,101,4,106,2,29,1101,24.8,3.7
1/17/2019,1,8,6,"NL,JP,BS,JL",Sorghastrum nutans,Heatwave-6-8B,Heatwave,8B,A,96,3,108,2,29,1101,24.8,3.7
1/22/2019,1,5,6,CW,Schizachyrium scoparium,Control-6-4A,Control,4A,A,125,5,267,2,15,2530,30.2,29.9
1/22/2019,1,5,6,CW,Schizachyrium scoparium,Control-6-4B,Control,4B,A,185,5,190,2,15,2530,30.2,29.9
1/22/2019,1,5,6,CW,Schizachyrium scoparium,Control-6-5A,Control,5A,A,130,4,250,2,15,2530,30.2,29.9
1/22/2019,1,5,6,CW,Schizachyrium scoparium,Control-6-5B,Control,5B,A,143,11,220,2,15,2530,30.2,29.9
1/22/2019,1,5,6,CW,Schizachyrium scoparium,Heatwave-6-4A,Heatwave,4B,A,140,8,155,2,15,3030,30.2,37.7
1/22/2019,1,5,6,CW,Schizachyrium scoparium,Heatwave-6-4B,Heatwave,4A,A,120,4,175,2,15,3030,30.2,37.7
1/22/2019,1,5,6,CW,Schizachyrium scoparium,Heatwave-6-5A,Heatwave,5A,A,140,11,150,2,15,3030,30.2,37.7
